class,cap.diameter,cap.shape,cap.surface,cap.color,does.bruise.or.bleed,gill.attachment,gill.spacing,gill.color,stem.height,stem.width,stem.root,stem.surface,stem.color,veil.type,veil.color,has.ring,ring.type,spore.print.color,habitat,season
poisonous,152.6,convex,grooves,orange,f,e,,w,169.5,17.09,s,y,w,u,w,t,g,,Woods,Winter
poisonous,166,convex,grooves,orange,f,e,,w,179.9,18.19,s,y,w,u,w,t,g,,Woods,Summer
poisonous,140.7,convex,grooves,orange,f,e,,w,178,17.74,s,y,w,u,w,t,g,,Woods,Winter
poisonous,141.7,flat,shiny,red,f,e,,w,157.7,15.98,s,y,w,u,w,t,p,,Woods,Winter
poisonous,146.4,convex,shiny,orange,f,e,,w,165.3,17.2,s,y,w,u,w,t,p,,Woods,Winter
poisonous,153.4,convex,grooves,orange,f,e,,w,178.4,18.79,s,y,w,u,w,t,p,,Woods,Summer
poisonous,148.5,flat,shiny,orange,f,e,,w,177.1,16.89,s,y,w,u,w,t,g,,Woods,Winter
poisonous,148.6,convex,shiny,red,f,e,,w,170.3,17.44,s,y,w,u,w,t,p,,Woods,Summer
poisonous,128.5,flat,grooves,orange,f,e,,w,172.7,18.69,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,135.5,flat,grooves,red,f,e,,w,160.4,16.88,s,y,w,u,w,t,p,,Woods,Winter
poisonous,141.7,flat,shiny,red,f,e,,w,178.6,18.02,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,134,convex,shiny,orange,f,e,,w,179.5,17.14,s,y,w,u,w,t,p,,Woods,Summer
poisonous,173.7,convex,shiny,orange,f,e,,w,181,18.27,s,y,w,u,w,t,g,,Woods,Summer
poisonous,165.6,convex,shiny,orange,f,e,,w,188.9,18.11,s,y,w,u,w,t,p,,Woods,Summer
poisonous,153.7,convex,shiny,red,f,e,,w,181.9,18.38,s,y,w,u,w,t,g,,Woods,Autumn
poisonous,155.4,flat,shiny,red,f,e,,w,182.6,17.87,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,151.9,convex,grooves,red,f,e,,w,174.2,17.67,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,174,convex,shiny,orange,f,e,,w,184.8,18.54,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,161.6,convex,grooves,orange,f,e,,w,194.6,18.9,s,y,w,u,w,t,p,,Woods,Winter
poisonous,169.3,convex,shiny,red,f,e,,w,183.1,17.81,s,y,w,u,w,t,p,,Woods,Summer
poisonous,130,flat,grooves,red,f,e,,w,173,17.19,s,y,w,u,w,t,g,,Woods,Winter
poisonous,130.6,convex,grooves,red,f,e,,w,169,17.38,s,y,w,u,w,t,g,,Woods,Summer
poisonous,172.3,convex,shiny,orange,f,e,,w,176.3,17.92,s,y,w,u,w,t,g,,Woods,Winter
poisonous,143.9,convex,grooves,red,f,e,,w,169.8,17.48,s,y,w,u,w,t,p,,Woods,Winter
poisonous,155.6,flat,grooves,orange,f,e,,w,172.8,16.99,s,y,w,u,w,t,p,,Woods,Summer
poisonous,132,convex,grooves,orange,f,e,,w,169.1,16.9,s,y,w,u,w,t,p,,Woods,Winter
poisonous,139,flat,shiny,red,f,e,,w,178.1,17.77,s,y,w,u,w,t,g,,Woods,Summer
poisonous,163.8,flat,grooves,orange,f,e,,w,183.6,17.99,s,y,w,u,w,t,p,,Woods,Summer
poisonous,133,convex,shiny,red,f,e,,w,176,17.52,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,159.5,flat,grooves,orange,f,e,,w,164.2,16.65,s,y,w,u,w,t,g,,Woods,Winter
poisonous,165.8,convex,grooves,orange,f,e,,w,182.6,18.12,s,y,w,u,w,t,g,,Woods,Autumn
poisonous,141,flat,grooves,orange,f,e,,w,169.4,16.76,s,y,w,u,w,t,p,,Woods,Summer
poisonous,138.1,flat,shiny,orange,f,e,,w,172.2,17.11,s,y,w,u,w,t,g,,Woods,Autumn
poisonous,146.7,flat,shiny,orange,f,e,,w,172,16.77,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,142.3,flat,shiny,red,f,e,,w,172.2,17.23,s,y,w,u,w,t,p,,Woods,Summer
poisonous,147.8,flat,grooves,red,f,e,,w,174.4,17.13,s,y,w,u,w,t,p,,Woods,Summer
poisonous,150.8,convex,grooves,red,f,e,,w,170.9,17.8,s,y,w,u,w,t,g,,Woods,Winter
poisonous,160,convex,grooves,red,f,e,,w,169.6,17.22,s,y,w,u,w,t,g,,Woods,Summer
poisonous,147.6,flat,grooves,orange,f,e,,w,181.4,17.54,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,148.9,convex,grooves,red,f,e,,w,177.8,18.07,s,y,w,u,w,t,g,,Woods,Winter
poisonous,130.5,flat,grooves,red,f,e,,w,173.2,17.17,s,y,w,u,w,t,p,,Woods,Winter
poisonous,130.3,flat,shiny,red,f,e,,w,170.5,17.07,s,y,w,u,w,t,p,,Woods,Winter
poisonous,140.7,flat,grooves,orange,f,e,,w,169.8,17.76,s,y,w,u,w,t,p,,Woods,Winter
poisonous,150.9,flat,grooves,orange,f,e,,w,174.5,18.15,s,y,w,u,w,t,g,,Woods,Autumn
poisonous,122.2,flat,shiny,orange,f,e,,w,181.9,17.62,s,y,w,u,w,t,g,,Woods,Winter
poisonous,151.2,convex,grooves,red,f,e,,w,170.3,17.2,s,y,w,u,w,t,g,,Woods,Autumn
poisonous,180.4,flat,grooves,red,f,e,,w,188.6,19.79,s,y,w,u,w,t,g,,Woods,Winter
poisonous,122.7,flat,grooves,orange,f,e,,w,161.5,17.17,s,y,w,u,w,t,g,,Woods,Winter
poisonous,160.3,flat,grooves,orange,f,e,,w,193.4,19.37,s,y,w,u,w,t,g,,Woods,Summer
poisonous,165.1,convex,grooves,orange,f,e,,w,183.8,18.29,s,y,w,u,w,t,g,,Woods,Winter
poisonous,149.6,flat,shiny,orange,f,e,,w,182.6,18.28,s,y,w,u,w,t,p,,Woods,Winter
poisonous,159,flat,shiny,red,f,e,,w,173.4,17.54,s,y,w,u,w,t,g,,Woods,Winter
poisonous,154.8,convex,grooves,red,f,e,,w,192.2,18.14,s,y,w,u,w,t,p,,Woods,Summer
poisonous,156.3,flat,shiny,orange,f,e,,w,177.2,16.82,s,y,w,u,w,t,g,,Woods,Autumn
poisonous,148,convex,grooves,orange,f,e,,w,179.4,17.42,s,y,w,u,w,t,g,,Woods,Winter
poisonous,160,convex,shiny,orange,f,e,,w,176.7,17.96,s,y,w,u,w,t,g,,Woods,Winter
poisonous,150.7,flat,shiny,orange,f,e,,w,169.7,17.51,s,y,w,u,w,t,g,,Woods,Summer
poisonous,131.2,convex,shiny,red,f,e,,w,179.6,17.89,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,138.2,flat,shiny,orange,f,e,,w,168.6,17.14,s,y,w,u,w,t,p,,Woods,Summer
poisonous,172.3,convex,shiny,red,f,e,,w,185.1,18.59,s,y,w,u,w,t,g,,Woods,Summer
poisonous,125.7,convex,grooves,orange,f,e,,w,166.2,15.7,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,148.5,convex,shiny,orange,f,e,,w,173.6,16.46,s,y,w,u,w,t,g,,Woods,Autumn
poisonous,125.5,convex,grooves,red,f,e,,w,169.7,17.39,s,y,w,u,w,t,g,,Woods,Summer
poisonous,135.3,convex,grooves,red,f,e,,w,166.5,16.91,s,y,w,u,w,t,g,,Woods,Autumn
poisonous,168.4,convex,shiny,red,f,e,,w,173,17.27,s,y,w,u,w,t,p,,Woods,Winter
poisonous,157.3,convex,shiny,orange,f,e,,w,175.8,17.59,s,y,w,u,w,t,p,,Woods,Summer
poisonous,114.6,convex,shiny,orange,f,e,,w,175.6,18.39,s,y,w,u,w,t,g,,Woods,Winter
poisonous,150.6,flat,grooves,orange,f,e,,w,157.7,16.1,s,y,w,u,w,t,p,,Woods,Winter
poisonous,161.5,convex,shiny,red,f,e,,w,182.5,17.67,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,137.8,flat,shiny,orange,f,e,,w,171.8,17.6,s,y,w,u,w,t,g,,Woods,Winter
poisonous,167.7,flat,shiny,red,f,e,,w,188.1,19.23,s,y,w,u,w,t,g,,Woods,Summer
poisonous,173.2,flat,grooves,orange,f,e,,w,176.7,17.83,s,y,w,u,w,t,g,,Woods,Summer
poisonous,186.5,convex,shiny,red,f,e,,w,186,19.03,s,y,w,u,w,t,p,,Woods,Summer
poisonous,141.1,flat,shiny,red,f,e,,w,168.7,16.23,s,y,w,u,w,t,g,,Woods,Summer
poisonous,162.5,flat,grooves,orange,f,e,,w,173.2,17.6,s,y,w,u,w,t,p,,Woods,Summer
poisonous,135.9,convex,grooves,orange,f,e,,w,185.8,18.87,s,y,w,u,w,t,p,,Woods,Winter
poisonous,173,flat,grooves,orange,f,e,,w,173.9,18.35,s,y,w,u,w,t,g,,Woods,Summer
poisonous,121.3,flat,grooves,red,f,e,,w,166.6,16.62,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,122.9,convex,shiny,red,f,e,,w,164.5,15.65,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,147.4,convex,shiny,orange,f,e,,w,168,17.46,s,y,w,u,w,t,p,,Woods,Winter
poisonous,151.3,flat,shiny,red,f,e,,w,178.1,17.24,s,y,w,u,w,t,p,,Woods,Summer
poisonous,136.6,flat,grooves,orange,f,e,,w,162.1,16.65,s,y,w,u,w,t,g,,Woods,Summer
poisonous,133,convex,grooves,red,f,e,,w,177.5,17.19,s,y,w,u,w,t,p,,Woods,Winter
poisonous,141.6,flat,grooves,orange,f,e,,w,152.6,16.19,s,y,w,u,w,t,g,,Woods,Winter
poisonous,166.6,convex,shiny,orange,f,e,,w,187.3,18.47,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,155.5,flat,grooves,red,f,e,,w,170.3,17.84,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,142.8,flat,grooves,red,f,e,,w,175.5,17.58,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,169.2,convex,grooves,red,f,e,,w,183,18.81,s,y,w,u,w,t,g,,Woods,Winter
poisonous,155.5,convex,shiny,red,f,e,,w,167.5,16.97,s,y,w,u,w,t,p,,Woods,Winter
poisonous,150.8,convex,shiny,orange,f,e,,w,175.1,16.82,s,y,w,u,w,t,p,,Woods,Summer
poisonous,120.2,flat,grooves,orange,f,e,,w,161.6,16.61,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,136.9,flat,grooves,red,f,e,,w,165.8,15.84,s,y,w,u,w,t,p,,Woods,Summer
poisonous,153.6,flat,grooves,orange,f,e,,w,175.3,15.97,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,152.2,flat,grooves,orange,f,e,,w,168.7,17.46,s,y,w,u,w,t,p,,Woods,Summer
poisonous,154.9,flat,shiny,red,f,e,,w,174.5,16.64,s,y,w,u,w,t,p,,Woods,Autumn
poisonous,121.6,convex,shiny,red,f,e,,w,174.6,17.51,s,y,w,u,w,t,g,,Woods,Summer
poisonous,160.4,flat,shiny,orange,f,e,,w,173.9,17.19,s,y,w,u,w,t,p,,Woods,Summer
poisonous,163.1,flat,shiny,red,f,e,,w,171.5,17.05,s,y,w,u,w,t,g,,Woods,Summer
poisonous,153.5,flat,grooves,orange,f,e,,w,178.9,18.21,s,y,w,u,w,t,g,,Woods,Summer
